Company,Role,Auto Rejected,In-Progress,HR/ Recruiter Call,Hiring Manager,Technical Interview/ Assessment,Panel Interview,Offer
Arrow Search Partners,Data Engineer,,,,,,,
Artmac,Senior Analytics Engineer,,,,,,,
AssemblyAI,Senior Data Engineer,,,,,,,
Autodesk,Data Architect,,,,,,,
Averity,Data Engineer (ML/Ops),,,,,,,
Big Cloud,Senior Data Engineer,,,,,,,
Bluesight,Senior Data Engineer,,,,,,,
Brightcove,Principal Data Engineer,,,,,,,
Brightspeed,Process Engineering Data Architect,,,,,,,
Camino Financial,Senior Data Engineer,,,,,,,
Catalyst,Senior Data Engineer,,,,,,,
CAVA,Lead Data Engineer Ops,,,,,,,
Chainguard,GTM Analytics Engineer,,,,,,,
Cherre,Senior Data Architect,,,,,,,
Clara Analytics,Senior Data Engineer,,,,,,,
Coinbase,Senior Data Engineer,,,,,,,
Columbia Sportswear,Senior Data Architect,,,,,,,
Compass,Senior Data Engineer,,,,,,,
Connecticut Innovations,Senior Data Engineer,,,,,,,
Crisis Text Line,Senior Data Engineer,,,,,,,
Cruise Planners,Data Warehouse Architect,,,,,,,
dbt Labs,Senior Data Engineer,,,,,,,
dbt Labs,Solutions Architect,,,,,,,
Descript,Senior Analytics Engineer,,,,,,,
Dexian,Senior Data Architect,,,,,,,
Dole,Senior Software Engineer - Data Science,,,,,,,
EarnIn,Senior Data Engineer,,,,,,,
ecoATM,Senior Data Engineer,,,,,,,
Expel,Data Architect,,,,,,,
Experian,Senior Solutions Engineer - Analytics,,,,,,,
Faire,Analytics Lead,,,,,,,
FinThrive,Data Optimization Strategist,,,,,,,
FinThrive,Senior Data Architect,,,,,,,
First Citizens Bank,Senior Data Platform Engineer,,,,,,,
Franklin Fitch,Senior Data Architect,,,,,,,
Ghost,Senior Analytics Engineer,,,,,,,
GibsonAI,Principal Engineer,,,,,,,
Harness,Senior Analytics Engineer,,,,,,,
Hayward,Senior Data Engineer,,,,,,,
Ignetic,Principal ETL Engineer,,,,,,,
Included Health,Senior Software Engineer,,,,,,,
Jerry,Senior Data Engineer,,,,,,,
Lumen,Senior Lead Data Architect,,,,,,,
MDCalc,Senior Data Engineer,,,,,,,
Media Streams,Data Engineer,,,,,,,
Mission Veterinary Partners,Senior Data Engineer,,,,,,,
MNTN,Senior Data Engineer,,,,,,,
Modern Health,Senior Data Engineer,,,,,,,
Netflix,Data Engineer - Ads,,,,,,,
Netflix,Data Engineer - Security,,,,,,,
Netflix,Data Engineer - Customer Service,,,,,,,
Netflix,Data Engineer - Growth,,,,,,,
One,Analytics Engineer,,,,,,,
Oscar Health,Senior Software Engineer II,,,,,,,
Pattern Data,Senior Data Engineer,,,,,,,
Paytient,Senior Analytics Engineer,,,,,,,
PeopleFun,Senior Data Engineer,,,,,,,
Promote,Senior Data Engineer,,,,,,,
QSC,Senior Data Engineer & Architect,,,,,,,
Quantana,Senior Data Engineer,,,,,,,
RainesDev,Platform Architect,,,,,,,
RE Partners,Senior Data Modeler,,,,,,,
Regard,Senior Data Engineer,,,,,,,
Reperio Human Capital,Principal Data Analyst,,,,,,,
Rightway,Senior Analytics Engineer,,,,,,,
Scope3,Lead Analytics Engineer,,,,,,,
Smartsheet,Senior Data Engineer,,,,,,,
SoFi,Senior Software Engineer - Data Platform,,,,,,,
StackAdapt,Staff/ Senior Data Engineer,,,,,,,
Super,Senior Analytics Engineer,,,,,,,
